产品路线,应用边界,产品标准轴,电接口轴,封装架构轴,光子平台轴,BOM分组,关键组成,说明,证据等级,来源
800G DR8,并行单模短距互联,800GBASE-DR8,可采用FRO/LPO等实现,可插拔为主,离散光或硅光均可,主机电接口,800GAUI-8 / 100G每通道,产品标准不等于LPO或硅光,A,https://www.ieee802.org/3/df/KeyMotions_3df_220914.pdf
800G DR8,并行单模短距互联,800GBASE-DR8,可采用FRO/LPO等实现,可插拔为主,离散光或硅光均可,发射链,8路光发射通道,典型为每通道100G PAM4；具体光源实现由平台决定,A,https://www.ieee802.org/3/df/public/22_03/lusted_3df_01a_220315.pdf
800G DR8,并行单模短距互联,800GBASE-DR8,可采用FRO/LPO等实现,可插拔为主,离散光或硅光均可,接收链,8路探测器 + TIA,与8路单模光纤MDI对应,A,https://www.ieee802.org/3/df/public/22_07/minutes_3df_2207_approved.pdf
800G DR8,并行单模短距互联,800GBASE-DR8,可采用FRO/LPO等实现,可插拔为主,离散光或硅光均可,数字与模拟电路,DSP/Retimer或线性模拟链,是否保留完整DSP属于电接口实现轴,B,https://www.ieee802.org/3/df/public/22_07/nicholl_3df_01_2207.pdf
800G DR8,并行单模短距互联,800GBASE-DR8,可采用FRO/LPO等实现,可插拔为主,离散光或硅光均可,光学与结构,MPO连接/光纤阵列/透镜/PCB/散热,具体BOM随离散光或硅光平台变化,B,https://www.ieee802.org/3/df/KeyMotions_3df_220914.pdf
1.6T DR8,下一代并行单模互联,1.6TBASE-DR8,200G每电通道方向,可插拔/NPO/CPO均可能,离散EML或硅光等,主机电接口,1.6TAUI-8 / 200G每通道,802.3dj仍处标准制定阶段,B,https://www.ieee802.org/3/B400G/email/msg01775.html
1.6T DR8,下一代并行单模互联,1.6TBASE-DR8,200G每电通道方向,可插拔/NPO/CPO均可能,离散EML或硅光等,发射链,8路200G级光发射通道,光源与调制器取决于光子平台,B,https://www.ieee802.org/3/dj/email/178b/msg00006.html
1.6T DR8,下一代并行单模互联,1.6TBASE-DR8,200G每电通道方向,可插拔/NPO/CPO均可能,离散EML或硅光等,接收链,8路高速探测器 + TIA,接收线性度与链路损耗更敏感,B,https://www.ieee802.org/3/dj/public/adhoc/electrical/index.html
1.6T DR8,下一代并行单模互联,1.6TBASE-DR8,200G每电通道方向,可插拔/NPO/CPO均可能,离散EML或硅光等,数字与模拟电路,DSP/Retimer或LRO/LPO链,电接口路线必须与产品标准分开比较,B,https://www.ieee802.org/3/dj/
1.6T DR8,下一代并行单模互联,1.6TBASE-DR8,200G每电通道方向,可插拔/NPO/CPO均可能,离散EML或硅光等,光学与结构,光纤阵列/耦合/PCB/散热,封装架构决定电通道长度和维护方式,B,https://www.oiforum.com/technical-work/implementation-agreements-ias/
400ZR,城域及数据中心互联,400ZR DCO,完整相干DSP,可插拔DCO为目标,相干光子集成平台,线路侧信号,单载波DP-16QAM + C-FEC,面向互操作的400Gb/s相干接口,A,https://www.oiforum.com/wp-content/uploads/OIF-400ZR-02.0.pdf
400ZR,城域及数据中心互联,400ZR DCO,完整相干DSP,可插拔DCO为目标,相干光子集成平台,发射链,窄线宽可调激光器 + IQ调制器/驱动,相干发射链不同于DR8强度调制,A,https://www.oiforum.com/wp-content/uploads/OIF-400ZR-02.0.pdf
400ZR,城域及数据中心互联,400ZR DCO,完整相干DSP,可插拔DCO为目标,相干光子集成平台,接收链,偏振分集相干接收器 + TIA,需要本振和I/Q接收路径,A,https://www.oiforum.com/technical-work/implementation-agreements-ias/
400ZR,城域及数据中心互联,400ZR DCO,完整相干DSP,可插拔DCO为目标,相干光子集成平台,数字与控制,相干DSP/FEC/控制与管理,400ZR以低功耗相干DSP和互操作为目标,A,https://www.oiforum.com/oif-publishes-implementation-agreement-for-400zr-coherent-optical-interface/
400ZR,城域及数据中心互联,400ZR DCO,完整相干DSP,可插拔DCO为目标,相干光子集成平台,光学与结构,QSFP-DD/OSFP等模块结构 + 散热,OIF不限定单一外形但目标为可插拔DCO,A,https://www.oiforum.com/oif-publishes-implementation-agreement-for-400zr-coherent-optical-interface/
